#  Trophic Ecology of Atlantic_Cod 
#   Insights from Tri-monthly, Localized Scales of Sampling 
#  PIs:  Theodore Ligenza, Brian Smith, Frank Almeida, Jason Link 
date_local,stomach_id,location,temp_ss_f,depth_w,drift,length_cod,sex,maturity,prey_taxon,prey_weight,prey_no,prey_digestion
10/09/01,3,Lemons,56.7,105,2,54,M,I,Fish,0.04,-9999.0,W
10/09/01,3,Lemons,56.7,105,2,54,M,I,Cancer_borealis,7.12,1,P
10/09/01,3,Lemons,56.7,105,2,54,M,I,Cancer_irroratus,1.33,2,P
10/09/01,3,Lemons,56.7,105,2,54,M,I,Ophiopholis_aculeata,6.37,-9999.0,P
10/09/01,4,Lemons,56.7,105,2,54,M,I,Ophiuroidea,0.03,1,P
10/09/01,4,Lemons,56.7,105,2,54,M,I,Cancer_sp,0.41,1,P
10/09/01,4,Lemons,56.7,105,2,54,M,I,Holothuroidea,2.42,1,P
10/09/01,5,Lemons,56.9,110,3,65,F,X,Cancer_borealis,6.39,-9999.0,P
10/09/01,5,Lemons,56.9,110,3,65,F,X,Anonyx_sarsi,0.18,-9999.0,P
10/09/01,5,Lemons,56.9,110,3,65,F,X,Bryozoa,0.15,-9999.0,P
10/09/01,5,Lemons,56.9,110,3,65,F,X,Ophiopholis_aculeata,7.24,-9999.0,P
10/09/01,6,Lemons,56.9,110,3,47,F,I,Eualus_pusiolus,0.03,1,P
10/09/01,6,Lemons,56.9,110,3,47,F,I,Eualus_fabricii,0.59,3,P
10/09/01,6,Lemons,56.9,110,3,47,F,I,Cancer_irroratus,1.69,1,P
10/09/01,6,Lemons,56.9,110,3,47,F,I,Cancer_borealis,7.73,2,P
10/09/01,6,Lemons,56.9,110,3,47,F,I,Decapoda_shrimp,0.64,2,P
10/09/01,7,Crab_Ledge,56.9,100,4,52,M,D,Decapoda_shrimp,0.01,-9999.0,P
10/09/01,7,Crab_Ledge,56.9,100,4,52,M,D,Bryozoa,0.06,-9999.0,P
10/09/01,7,Crab_Ledge,56.9,100,4,52,M,D,Nereidae,0.98,-9999.0,P
